様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,,⑤
①,①,①,①,①,①,①,②,②,③,④,
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記),
,,,,,,,,,,,
5F,講師控室,学校等,事務室,72,4.4,2.7,5F,講師控室,OHU-5,OHU-5,
5F,会議室501,学校等,事務室,101,4.4,2.7,5F,会議室501,OHU-5,OHU-5,
5F,会議室502,学校等,事務室,24,4.4,2.7,5F,会議室502,OHU-5,OHU-5,
5F,共用応接室,学校等,事務室,22,4.4,2.7,5F,共用応接室,OHU-5,OHU-5,
5F,ラウンジ5,学校等,教室（大学）,13.1,4.4,2.7,5F,ラウンジ5,OHU-5,ACP-D1a,
5F,ラウンジ5流し,学校等,事務室,0.9,4.4,2.7,5F,ラウンジ5流し,ACP-D1a,ACP-D1a,
5F,非EVロビー兼用付室,学校等,教室（大学）,25,4.4,2.7,5F,非EVロビー兼用付室,ACP-EV2a,ACP-EV2a,
5F,EVホール,学校等,教室（大学）,18,4.4,2.7,5F,EVホール,OHU-5,OHU-5,
6F,会議室601,学校等,事務室,25,4.4,2.7,6F,会議室601,OHU-6,OHU-6,
6F,会議室602,学校等,事務室,25,4.4,2.7,6F,会議室602,OHU-6,OHU-6,
6F,研究知財倉庫,学校等,事務室,52,4.4,2.7,6F,研究知財倉庫,OHU-6,OHU-6,
6F,男子更衣室,学校等,事務室,5,4.4,2.7,6F,男子更衣室,OHU-6,OHU-6,
6F,女子更衣室,学校等,事務室,5,4.4,2.7,6F,女子更衣室,OHU-6,OHU-6,
6F,台車置場,学校等,事務室,12,4.4,2.7,6F,台車置場,OHU-6,OHU-6,
6F,作業室,学校等,事務室,12,4.4,2.7,6F,作業室,OHU-6,OHU-6,
6F,研究知財事務室,学校等,事務室,200.8,4.4,2.7,6F,研究知財事務室,OHU-6,OHU-6,
6F,応接ブース,学校等,事務室,11.6,4.4,2.7,6F,応接ブース,OHU-6,OHU-6,
6F,会議ブース,学校等,事務室,14.6,4.4,2.7,6F,会議ブース,OHU-6,OHU-6,
6F,研究知財役職室,学校等,事務室,46,4.4,2.7,6F,研究知財役職室,OHU-6,OHU-6,
6F,ラウンジ6,学校等,教室（大学）,14.3,4.4,2.7,6F,ラウンジ6,ACP-D1a,ACP-D1a,
