様式 4-1. (給湯)給湯対象室入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,①,①,①,②,③,④,,,,
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,給湯箇所,節湯器具,給湯機器名称,,,,
,,,,,（給湯栓設置箇所）,,,,,,
,,,,[㎡],,,,,,,
(転記),(転記),(転記),(転記),(転記),,(選択),(選択),,,,
,,,,,,,,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室415,学校等,教室（大学）,25,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室416,学校等,教室（大学）,50,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
4F,演習室417,学校等,教室（大学）,50,,有,EHW-1-4a,,,,
,,,,,,有,EHW-1-4b,,,,
,,,,,,有,EHW-2-4a,,,,
5F,大学院長室,学校等,事務室,25,,有,EHW-1-5a,,,,
,,,,,,有,EHW-1-5b,,,,
,,,,,,有,EHW-2-5a,,,,
5F,大学院役職者室,学校等,事務室,25,,有,EHW-1-5a,,,,
,,,,,,有,EHW-1-5b,,,,
,,,,,,有,EHW-2-5a,,,,
5F,大学院事務室,学校等,事務室,190,,有,EHW-1-5a,,,,
,,,,,,有,EHW-1-5b,,,,
,,,,,,有,EHW-2-5a,,,,
5F,作業室,学校等,事務室,17,,有,EHW-1-5a,,,,
,,,,,,有,EHW-1-5b,,,,
,,,,,,有,EHW-2-5a,,,,
5F,講師控室,学校等,事務室,72,,有,EHW-1-5a,,,,
,,,,,,有,EHW-1-5b,,,,
,,,,,,有,EHW-2-5a,,,,
,,,,,,有,EHW-2-5b,,,,
5F,会議室501,学校等,事務室,101,,有,EHW-1-5a,,,,
,,,,,,有,EHW-1-5b,,,,
,,,,,,有,EHW-2-5a,,,,
5F,会議室502,学校等,事務室,24,,有,EHW-1-5a,,,,
,,,,,,有,EHW-1-5b,,,,
,,,,,,有,EHW-2-5a,,,,
5F,共用応接室,学校等,事務室,22,,有,EHW-1-5a,,,,
,,,,,,有,EHW-1-5b,,,,
,,,,,,有,EHW-2-5a,,,,
6F,会議室601,学校等,事務室,25,,有,EHW-1-6a,,,,
