様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
?,?,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,給湯計算対象室,照明計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
4F,演習室411,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室412,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室413,学校等,大学教室,23,4.4,2.7,■,,■,■,
4F,演習室414,学校等,大学教室,26,4.4,2.7,■,,■,■,
4F,ラウンジ4,学校等,大学教室,29.8,4.4,2.7,■,,■,■,
4F,演習室415,学校等,大学教室,25,4.4,2.7,■,,■,■,
4F,演習室416,学校等,大学教室,50,4.4,2.7,■,,■,■,
4F,演習室417,学校等,大学教室,50,4.4,2.7,■,,■,■,
4F,ディスカッションコーナー1,学校等,大学教室,65.25,4.4,2.7,■,,■,,
4F,倉庫3,学校等,湯沸室等,19,4.4,2.7,,■,■,,
4F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.4,2.7,,■,■,,
4F,給湯2,学校等,湯沸室等,4,4.4,2.7,,■,■,,
4F,非EVロビー兼用付室,学校等,大学教室,25,4.4,2.7,■,,■,,
4F,EVホール,学校等,大学教室,19,4.4,2.7,■,,■,,
4F,男WC3,学校等,便所,21,4.4,2.4,,■,■,,
4F,女WC3,学校等,便所,17,4.4,2.4,,■,■,,
4F,多目的WC3,学校等,便所,6,4.4,2.4,,■,■,,
5F,大学院長室,学校等,事務室,25,4.4,2.7,■,,■,■,
5F,大学院役職者室,学校等,事務室,25,4.4,2.7,■,,■,■,
5F,大学院事務室,学校等,事務室,190,4.4,2.7,■,,■,■,
5F,大学院倉庫,学校等,湯沸室等,19,4.4,2.7,,■,■,,
5F,ロッカー,学校等,湯沸室等,13,4.4,2.7,,■,■,,
5F,作業室,学校等,事務室,17,4.4,2.7,■,,■,■,
5F,講師控室,学校等,事務室,72,4.4,2.7,■,,■,■,
5F,会議室501,学校等,事務室,101,4.4,2.7,■,,■,■,
5F,会議室502,学校等,事務室,24,4.4,2.7,■,,■,■,
5F,共用応接室,学校等,事務室,22,4.4,2.7,■,,■,■,
5F,倉庫3,学校等,湯沸室等,12,4.4,2.7,,■,■,,
5F,ゴミコーナー1,学校等,ゴミ置場等,1.8,4.4,2.7,,■,■,,
5F,ラウンジ5,学校等,大学教室,13.1,4.4,2.7,■,,■,,
5F,ラウンジ5流し,学校等,事務室,0.94,4.4,2.7,■,,■,,
5F,給湯2,学校等,湯沸室等,4,4.4,2.7,,■,■,,
5F,非EVロビー兼用付室,学校等,大学教室,25,4.4,2.7,■,,■,,
