様式 3-1. (換気)換気対象室入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
①,①,①,①,①,②,③,,,,
,,,,,,,,,,
階,室名,建物用途,室用途,室面積,換気種類,換気機器名称,,,,
,,,,,,,,,,
,,,,[㎡],(給気/排気/循環/空調),,,,,
(転記),(転記),(転記),(転記),(転記),(選択),(転記),,,,
,,,,,,,,,,
14F,ゴミコーナー1,学校等,厨芥置き場等,1.8 ,排気,FE-14-T-1-2,,,,
14F,男WC4,学校等,トイレ,18.0 ,排気,FE-14-W-1,,,,
14F,女WC4,学校等,トイレ,22.0 ,排気,FE-14-W-2,,,,
15F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-15-T-1-1,,,,
15F,ゴミコーナー1,学校等,厨芥置き場等,1.8 ,排気,FE-15-T-1-2,,,,
15F,男WC4,学校等,トイレ,18.0 ,排気,FE-15-W-1,,,,
15F,女WC4,学校等,トイレ,22.0 ,排気,FE-15-W-2,,,,
16F,倉庫3,学校等,湯沸室等,6.0 ,排気,FE-16-T-1-1,,,,
16F,ゴミコーナー1,学校等,厨芥置き場等,1.8 ,排気,FE-16-T-1-2,,,,
16F,男WC4,学校等,トイレ,18.0 ,排気,FE-16-W-1,,,,
16F,女WC4,学校等,トイレ,22.0 ,排気,FE-16-W-2,,,,
17F,倉庫5,学校等,湯沸室等,18.0 ,排気,FE-17-T-1,,,,
17F,ゴミ庫,学校等,厨芥置き場等,3.0 ,排気,FE-17-T-3,,,,
17F,倉庫6,学校等,湯沸室等,14.4 ,排気,FE-17-T-4,,,,
17F,クローク,学校等,湯沸室等,7.6 ,排気,FE-17-T-5,,,,
17F,男WC5,学校等,トイレ,18.0 ,排気,FE-17-W-1,,,,
17F,女WC5,学校等,トイレ,22.0 ,排気,FE-17-W-2,,,,
17F,多目的WC,学校等,トイレ,5.0 ,排気,FE-17-W-3,,,,
R1F,屋内機置場,学校等,電気・機械室（標準）,43.0 ,給気,FS-PH-M-1,,,,
,,,,,排気,FE-PH-M-1,,,,
R1F,EVMR2,学校等,電気・機械室（標準）,19.0 ,給気,FS-PH-M-2,,,,
,,,,,排気,FE-PH-M-2,,,,
,,,,,冷房,PAC-PH-M-2,,,,
R1F,EVMR3,学校等,電気・機械室（標準）,14.0 ,給気,FS-PH-M-3,,,,
,,,,,排気,FE-PH-M-3,,,,
,,,,,冷房,PAC-PH-M-3,,,,
R2F,非EVMR4,学校等,電気・機械室（標準）,20.0 ,給気,FS-PH-M-4,,,,
,,,,,排気,FE-PH-M-4,,,,
,,,,,冷房,PAC-PH-M-4,,,,
