様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
7F,リエゾンラボラトリー703,西,,,ＯＷ1,13.4,WNDW1,6.7,有
7F,会議室704,西,,,ＯＷ1,13.4,WNDW1,6.7,有
7F,リエゾンラボラトリー705,東,,,ＯＷ1,26.9,WNDW1,13.5,有
7F,リエゾンラボラトリー706,東,,,ＯＷ1,26.9,WNDW1,13.5,有
7F,リエゾンラボラトリー707,東,,,ＯＷ1,26.9,WNDW1,13.5,有
7F,リエゾンラボラトリー708,東,,,ＯＷ1,26.9,WNDW1,13.5,有
7F,ディスカッションコーナー2,東,,,ＯＷ1,13.4,WNDW1,6.7,有
7F,会議室709,東,,,ＯＷ1,27.3,WNDW2,13.7,有
,,南,,,ＯＷ1,33.6,WNDW2,16.8,有
7F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
7F,ラウンジ6流し,,,,,,,,
7F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
8F,共同研究室801,西,,,ＯＷ1,26.8,WNDW1,13.4,有
8F,共同研究室802,西,,,ＯＷ1,26.8,WNDW1,13.4,有
8F,共同研究室803,西,,,ＯＷ1,26.8,WNDW1,13.4,有
8F,共同研究室804,西,,,ＯＷ1,13.4,WNDW1,6.7,有
8F,共同研究室805,東,,,ＯＷ1,26.8,WNDW1,13.4,有
,,北,,,ＯＷ1,33.6,,,
,,日陰,,,ＯＷ1,19.2,,,
8F,共同研究室806,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,日陰,,,ＯＷ1,9.6,,,
8F,共同研究室807,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,日陰,,,ＯＷ1,9.6,,,
8F,共同研究室808,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,日陰,,,ＯＷ1,9.6,,,
8F,共同研究室809,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,日陰,,,ＯＷ1,9.6,,,
8F,共同研究室810,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,日陰,,,ＯＷ1,9.6,,,
8F,共同研究室811,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,日陰,,,ＯＷ1,9.6,,,
8F,共同研究室812,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,日陰,,,ＯＷ1,9.6,,,
8F,ミーティングブース1,東,,,ＯＷ1,52.1,WNDW2,26.1,有
,,南,,,ＯＷ1,67.2,WNDW2,33.6,有
8F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
8F,ラウンジ6流し,,,,,,,,
8F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
9F,共同研究室901,西,,,ＯＷ1,26.8,WNDW1,13.4,有
9F,共同研究室902,西,,,ＯＷ1,26.8,WNDW1,13.4,有
9F,共同研究室903,西,,,ＯＷ1,26.8,WNDW1,13.4,有
9F,共同研究室904,西,,,ＯＷ1,13.4,WNDW1,6.7,有
9F,共同研究室905,東,,,ＯＷ1,26.8,WNDW1,13.4,有
,,北,,,ＯＷ1,33.6,,,
9F,共同研究室906,東,,,ＯＷ1,13.4,WNDW1,6.7,有
9F,共同研究室907,東,,,ＯＷ1,13.4,WNDW1,6.7,有
9F,共同研究室908,東,,,ＯＷ1,13.4,WNDW1,6.7,有
9F,共同研究室909,東,,,ＯＷ1,13.4,WNDW1,6.7,有
9F,共同研究室910,東,,,ＯＷ1,13.4,WNDW1,6.7,有
9F,共同研究室911,東,,,ＯＷ1,13.4,WNDW1,6.7,有
9F,共同研究室912,東,,,ＯＷ1,13.4,WNDW1,6.7,有
9F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
9F,ラウンジ6流し,,,,,,,,
9F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
10F,院生用共同研究室1001,西,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,院生用共同研究室1002,西,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,院生用共同研究室1003,西,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,院生用共同研究室1004,西,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,院生用共同研究室1005,西,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,大学院共同演習室1006,西,,,ＯＷ1,26.8,WNDW1,13.4,有
10F,共同研究室1007,東,,,ＯＷ1,26.8,WNDW1,13.4,有
,,北,,,ＯＷ1,33.6,,,
10F,共同研究室1008,東,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,共同研究室1009,東,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,共同研究室1010,東,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,共同研究室1011,東,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,共同研究室1012,東,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,院生用共同研究室1013,東,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,院生用共同研究室1014,東,,,ＯＷ1,13.4,WNDW1,6.7,有
10F,ミーティングブース1,東,,,ＯＷ1,52.1,WNDW2,26.1,有
,,南,,,ＯＷ1,67.2,WNDW2,33.6,有
10F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
10F,ラウンジ6流し,,,,,,,,
10F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
11F,院生共同研究室1101,西,,,ＯＷ1,67,WNDW1,33.5,有
11F,大学院共同演習室1102,西,,,ＯＷ1,26.8,WNDW1,13.4,有
11F,院生用共同演習室1103,東,,,ＯＷ1,26.8,WNDW1,13.4,有
,,北,,,ＯＷ1,33.6,,,
11F,院生用共同演習室1104,東,,,ＯＷ1,13.4,WNDW1,6.7,有
11F,院生用共同演習室1105,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,水平,,,OＲ1,11.2,,,
11F,院生用共同演習室1106,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,水平,,,OＲ1,11.2,,,
11F,院生用共同演習室1107,東,,,ＯＷ1,13.4,WNDW1,6.7,有
11F,院生用共同演習室1108,東,,,ＯＷ1,13.4,WNDW1,6.7,有
11F,院生用共同演習室1109,東,,,ＯＷ1,13.4,WNDW1,6.7,有
11F,院生用共同演習室1110,東,,,ＯＷ1,13.4,WNDW1,6.7,有
11F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
11F,ラウンジ6流し,,,,,,,,
11F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
12F,院生共同研究室1201,西,,,ＯＷ1,67,WNDW1,33.5,有
12F,大学院共同演習室1202,西,,,ＯＷ1,26.8,WNDW1,13.4,有
12F,院生用共同研究室1203,東,,,ＯＷ1,26.8,WNDW1,13.4,有
,,北,,,ＯＷ1,33.6,,,
12F,院生用共同研究室1204,東,,,ＯＷ1,15.5,WNDW1,7.8,有
,,日陰,,,ＯＷ1,14.7,,,
12F,ディスカッションコーナー3,東,,,ＯＷ1,22.3,WNDW1,11.2,有
12F,院生用共同研究室1205,東,,,ＯＷ1,15.5,WNDW1,7.8,有
,,日陰,,,ＯＷ1,14.7,,,
12F,院生用共同研究室1206,東,,,ＯＷ1,13.4,WNDW1,6.7,有
12F,院生用共同研究室1207,東,,,ＯＷ1,13.4,WNDW1,6.7,有
12F,院生用共同研究室1208,東,,,ＯＷ1,13.4,WNDW1,6.7,有
12F,ミーティングブース1,東,,,ＯＷ1,52.1,WNDW2,26.1,有
,,南,,,ＯＷ1,67.2,WNDW2,33.6,有
12F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
12F,ラウンジ6流し,,,,,,,,
12F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
13F,院生共同研究室1301,西,,,ＯＷ1,67,WNDW1,33.5,有
13F,院生用共同研究室1302,西,,,ＯＷ1,13.4,WNDW1,6.7,有
13F,印刷コピー室1303,西,,,ＯＷ1,13.4,WNDW1,6.7,有
13F,院生協議会室1304,東,,,ＯＷ1,26.8,WNDW1,13.4,有
,,北,,,ＯＷ1,33.6,,,
13F,院生用共同研究室1305,東,,,ＯＷ1,15.5,WNDW1,7.8,有
,,日陰,,,ＯＷ1,14.7,,,
13F,ディスカッションコーナー3,東,,,ＯＷ1,22.3,WNDW1,11.2,有
13F,院生用共同研究室1306,東,,,ＯＷ1,15.5,WNDW1,7.8,有
,,日陰,,,ＯＷ1,14.7,,,
13F,院生用共同研究室1307,東,,,ＯＷ1,13.4,WNDW1,6.7,有
13F,院生用共同研究室1308,東,,,ＯＷ1,13.4,WNDW1,6.7,有
13F,院生用共同研究室1309,東,,,ＯＷ1,13.4,WNDW1,6.7,有
13F,ラウンジ6,西,,,ＯＷ1,11.8,WNDW1,7.6,有
,,南,,,ＯＷ1,25.2,WNDW2,12.6,有
13F,ラウンジ6流し,,,,,,,,
13F,非EVロビー兼用付室,西,,,ＯＷ1,11.8,WNDW3,4.3,有
14F,院生共同研究室1401,西,,,ＯＷ1,67,WNDW1,33.5,有
14F,大学院共同演習室1402,西,,,ＯＷ1,26.8,WNDW1,13.4,有
14F,院生用共同研究室1403,東,,,ＯＷ1,26.8,WNDW1,13.4,有
,,北,,,ＯＷ1,33.6,,,
14F,院生用共同研究室1404,東,,,ＯＷ1,13.4,WNDW1,6.7,有
14F,院生用共同研究室1405,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,日陰,,,ＯＷ1,11.2,,,
14F,院生用共同研究室1406,東,,,ＯＷ1,13.4,WNDW1,6.7,有
,,日陰,,,ＯＷ1,11.2,,,
14F,院生用共同研究室1407,東,,,ＯＷ1,13.4,WNDW1,6.7,有
14F,院生用共同研究室1408,東,,,ＯＷ1,13.4,WNDW1,6.7,有
14F,院生用共同研究室1409,東,,,ＯＷ1,13.4,WNDW1,6.7,有
