ブラインド内側一般窓の熱性能,,,,熱貫流率[W/m2K],,日射熱取得率[-],,,
No.,タイプ,ガラス品種,板厚[ミリ],ガラスのみ,ブラインドあり,ガラスのみ,明色ブラインド,中間色ブラインド,暗色ブラインド
206,複層（空気層6mm）,Low-E（日射遮蔽型）+透明,8,2.47,2.11,0.408,0.294,0.313,0.33
207,複層（空気層6mm）,Low-E（日射遮蔽型）+透明,10,2.45,2.1,0.4,0.292,0.309,0.324
208,複層（空気層6mm）,Low-E（日射遮蔽型）+透明,12,2.42,2.08,0.389,0.287,0.303,0.316
209,複層（空気層6mm）,Low-E（日射取得型）+透明,6,2.55,2.17,0.564,0.377,0.412,0.443
210,複層（空気層6mm）,Low-E（日射取得型）+透明,8,2.52,2.15,0.545,0.371,0.402,0.43
211,複層（空気層6mm）,Low-E（日射取得型）+透明,10,2.5,2.13,0.525,0.364,0.391,0.416
212,複層（空気層6mm）,Low-E（日射取得型）+透明,12,2.47,2.12,0.507,0.357,0.381,0.404
213,複層（空気層6mm）,Low-E（高日射取得型）+透明,6,2.62,2.22,0.636,0.41,0.452,0.491
214,複層（空気層6mm）,Low-E（高日射取得型）+透明,8,2.59,2.2,0.609,0.401,0.439,0.474
215,複層（空気層6mm）,Low-E（高日射取得型）+透明,10,2.56,2.18,0.583,0.392,0.426,0.456
216,複層（空気層6mm）,Low-E（高日射取得型）+透明,12,2.54,2.16,0.56,0.384,0.413,0.441
251,複層（空気層6mm）,透明+Low-E（日射取得型）,6,2.55,2.17,0.604,0.416,0.448,0.478
252,複層（空気層6mm）,透明+Low-E（日射取得型）,8,2.52,2.15,0.578,0.403,0.432,0.459
253,複層（空気層6mm）,透明+Low-E（日射取得型）,10,2.5,2.13,0.551,0.389,0.415,0.439
254,複層（空気層6mm）,透明+Low-E（日射取得型）,12,2.47,2.12,0.528,0.377,0.4,0.422
255,複層（空気層6mm）,透明+Low-E（高日射取得型）,6,2.62,2.22,0.684,0.457,0.497,0.533
256,複層（空気層6mm）,透明+Low-E（高日射取得型）,8,2.59,2.2,0.652,0.442,0.478,0.511
257,複層（空気層6mm）,透明+Low-E（高日射取得型）,10,2.56,2.18,0.621,0.428,0.46,0.489
258,複層（空気層6mm）,透明+Low-E（高日射取得型）,12,2.54,2.16,0.593,0.414,0.443,0.469
303,複層（空気層12mm）,透明+透明,6,2.84,2.38,0.73,0.453,0.506,0.554
304,複層（空気層12mm）,透明+透明,8,2.8,2.36,0.694,0.442,0.488,0.531
305,複層（空気層12mm）,透明+透明,10,2.77,2.34,0.658,0.428,0.469,0.506
306,複層（空気層12mm）,透明+透明,12,2.74,2.32,0.626,0.416,0.451,0.485
