ID,名称,WCON名,第1層材番,第1層厚,第2層材番,第2層厚,第3層材番,第3層厚,第4層材番,第4層厚,第5層材番,第5層厚,第6層材番,第6層厚,第7層材番,第7層厚,第8層材番,第8層厚,第9層材番,第9層厚,第10層材番,第10層厚,第11層材番,第11層厚
104,学校_VI_小_中_高_大_W20,W20,32,8,92,,22,150,27,25,36,10,,,,,,,,,,,,
105,学校_VI_小_中_高_大_C20,C20,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
106,学校_VI_小_中_高_大_F20,F20,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
107,学校_VI_小_中_高_大_GF20,GF20,41,3,27,27,22,150,,,,,,,,,,,,,,,,
108,集会場_Ia_Ibパチンコ店_R22,R22,32,13,32,10,92,,85,40,5,1,,,,,,,,,,,,
109,集会場_Ia_Ibパチンコ店_W22,W22,32,13,92,,85,30,24,50,,,,,,,,,,,,,,
110,集会場_Ia_Ibパチンコ店_C22,C22,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
111,集会場_Ia_Ibパチンコ店_F22,F22,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
112,集会場_Ia_Ibパチンコ店_GF22,GF22,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
113,集会場_II_IIIパチンコ店_R23,R23,32,13,32,10,92,,85,20,5,1,,,,,,,,,,,,
114,集会場_II_IIIパチンコ店_W23,W23,32,13,92,,85,15,24,50,,,,,,,,,,,,,,
115,集会場_II_IIIパチンコ店_C23,C23,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
116,集会場_II_IIIパチンコ店_F23,F23,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
117,集会場_II_IIIパチンコ店_GF23,GF23,41,3,27,27,22,150,,,,,,,,,,,,,,,,
118,集会場_IVa_IVb_Vパチンコ店_R21,R21,32,13,32,10,92,,85,20,5,1,,,,,,,,,,,,
119,集会場_IVa_IVb_Vパチンコ店_W21,W21,32,13,92,,85,15,24,50,,,,,,,,,,,,,,
120,集会場_IVa_IVb_Vパチンコ店_C21,C21,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
121,集会場_IVa_IVb_Vパチンコ店_F21,F21,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
122,集会場_IVa_IVb_Vパチンコ店_GF21,GF21,41,3,27,27,22,150,,,,,,,,,,,,,,,,
123,集会場_VIパチンコ店_R24,R24,32,13,32,10,92,,85,15,5,1,,,,,,,,,,,,
124,集会場_VIパチンコ店_W24,W24,32,13,92,,24,50,,,,,,,,,,,,,,,,
125,集会場_VIパチンコ店_C24,C24,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
126,集会場_VIパチンコ店_F24,F24,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
127,集会場_VIパチンコ店_GF24,GF24,41,3,27,27,22,150,,,,,,,,,,,,,,,,
128,集会場_Ia_Ib劇場_R26,R26,32,13,32,10,92,,82,100,5,1,,,,,,,,,,,,
129,集会場_Ia_Ib劇場_W26,W26,32,13,92,,85,30,24,50,,,,,,,,,,,,,,
130,集会場_Ia_Ib劇場_C26,C26,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
131,集会場_Ia_Ib劇場_F26,F26,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
132,集会場_Ia_Ib劇場_GF26,GF26,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
133,集会場_II_III劇場_R27,R27,32,13,32,10,92,,82,50,5,1,,,,,,,,,,,,
134,集会場_II_III劇場_W27,W27,32,13,92,,85,15,24,50,,,,,,,,,,,,,,
135,集会場_II_III劇場_C27,C27,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
136,集会場_II_III劇場_F27,F27,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
137,集会場_II_III劇場_GF27,GF27,41,3,27,27,22,150,,,,,,,,,,,,,,,,
138,集会場_IVa_IVb_V劇場_R25,R25,32,13,32,10,92,,82,50,5,1,,,,,,,,,,,,
139,集会場_IVa_IVb_V劇場_W25,W25,32,13,92,,85,15,24,50,,,,,,,,,,,,,,
140,集会場_IVa_IVb_V劇場_C25,C25,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
141,集会場_IVa_IVb_V劇場_F25,F25,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
142,集会場_IVa_IVb_V劇場_FG25,GF25,41,3,27,27,22,150,,,,,,,,,,,,,,,,
143,集会場_VI劇場_R28,R28,32,13,32,10,92,,82,25,5,1,,,,,,,,,,,,
144,集会場_VI劇場_W28,W28,32,13,92,,24,50,,,,,,,,,,,,,,,,
145,集会場_VI劇場_C28,C28,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
146,集会場_VI劇場_F28,F28,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
147,集会場_VI劇場_GF28,GF28,41,3,27,27,22,150,,,,,,,,,,,,,,,,
148,集会場_Ia_Ib屋内スポーツ施設_R30,R30,32,13,32,10,92,,85,40,5,1,,,,,,,,,,,,
149,集会場_Ia_Ib屋内スポーツ施設_W30,W30,32,13,92,,85,30,24,50,,,,,,,,,,,,,,
150,集会場_Ia_Ib屋内スポーツ施設_C30,C30,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
151,集会場_Ia_Ib屋内スポーツ施設_F30,F30,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
152,集会場_Ia_Ib屋内スポーツ施設_GF30,GF30,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
153,集会場_II_III屋内スポーツ施設_R31,R31,32,13,32,10,92,,85,20,5,1,,,,,,,,,,,,
154,集会場_II_III屋内スポーツ施設_W31,W31,32,13,92,,85,15,24,50,,,,,,,,,,,,,,
155,集会場_II_III屋内スポーツ施設_C31,C31,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
156,集会場_II_III屋内スポーツ施設_F31,F31,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
157,集会場_II_III屋内スポーツ施設_GF31,GF31,41,3,27,27,22,150,,,,,,,,,,,,,,,,
158,集会場_IVa_IVb_V屋内スポーツ施設_R29,R29,32,13,32,10,92,,85,20,5,1,,,,,,,,,,,,
159,集会場_IVa_IVb_V屋内スポーツ施設_W29,W29,32,13,92,,85,15,24,50,,,,,,,,,,,,,,
160,集会場_IVa_IVb_V屋内スポーツ施設_C29,C29,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
161,集会場_IVa_IVb_V屋内スポーツ施設_F29,F29,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
162,集会場_IVa_IVb_V屋内スポーツ施設_GF29,GF29,41,3,27,27,22,150,,,,,,,,,,,,,,,,
163,集会場_VI屋内スポーツ施設_R32,R32,32,13,32,10,92,,85,15,5,1,,,,,,,,,,,,
164,集会場_VI屋内スポーツ施設_W32,W32,32,13,92,,24,50,,,,,,,,,,,,,,,,
165,集会場_VI屋内スポーツ施設_C32,C32,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
166,集会場_VI屋内スポーツ施設_F32,F32,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
167,集会場_VI屋内スポーツ施設_GF32,GF32,41,3,27,27,22,150,,,,,,,,,,,,,,,,
168,病院_Ia_Ib_R34,R34,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,100,22,60,,,,
169,病院_Ia_Ib_W34,W34,32,8,92,,82,50,22,150,27,25,36,10,,,,,,,,,,
170,病院_Ia_Ib_C34,C34,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
171,病院_Ia_Ib_F34,F34,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
172,病院_Ia_Ib_GF34,GF34,41,3,27,27,22,150,82,25,,,,,,,,,,,,,,
173,病院_II_III_R35,R35,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
174,病院_II_III_W35,W35,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
175,病院_II_III_C35,C35,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
176,病院_II_III_F35,F35,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
177,病院_II_III_GF35,GF35,41,3,27,27,22,150,,,,,,,,,,,,,,,,
178,病院_IVa_IVb_V_R33,R33,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,50,22,60,,,,
179,病院_IVa_IVb_V_W33,W33,32,8,92,,82,25,22,150,27,25,36,10,,,,,,,,,,
180,病院_IVa_IVb_V_C33,C33,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
181,病院_IVa_IVb_V_F33,F33,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
182,病院_IVa_IVb_V_GF33,GF33,41,3,27,27,22,150,,,,,,,,,,,,,,,,
183,病院_VI_R36,R36,75,12,32,10,92,,22,150,27,15,43,5,27,15,82,25,22,60,,,,
184,病院_VI_W36,W36,32,8,92,,22,150,27,25,36,10,,,,,,,,,,,,
185,病院_VI_C36,C36,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
186,病院_VI_F36,F36,41,3,27,27,22,150,92,,32,10,75,12,,,,,,,,,,
187,病院_VI_GF36,GF36,41,3,27,27,22,150,,,,,,,,,,,,,,,,
188,物販店舗_Ia_Ib_R38,R38,32,13,92,,22,150,27,15,43,5,27,15,82,100,22,60,,,,,,
189,物販店舗_Ia_Ib_W38,W38,32,13,92,,85,30,24,50,,,,,,,,,,,,,,
190,物販店舗_Ia_Ib_C38,C38,75,12,32,10,92,,22,150,27,27,41,3,,,,,,,,,,
