様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,(任意の文字列),(選択),(選択),[m],[m],[m],[m],[㎡],(選択),(選択),(選択),(選択),
(任意),(必須),(必須),(必須),(必須),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(任意)
3F,ｼﾝｸﾞﾙ(W2)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
3F,ｼﾝｸﾞﾙ(W3),ホテル等,客室,3.15,2.4,,,12.9,,,,,
3F,ｼﾝｸﾞﾙ(W3)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
3F,ｼﾝｸﾞﾙ(NW),ホテル等,客室,3.15,2.4,,,14,,,,,
3F,ｼﾝｸﾞﾙ(NW)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
3F,PS(中央1),ホテル等,電気・機械室（標準）,3.15,2.4,,,2,,,,,
3F,PS(中央2),ホテル等,電気・機械室（標準）,3.15,2.4,2.1,0.7,1.47,,,,,
3F,PS(N),ホテル等,電気・機械室（標準）,3.15,2.4,1.23,0.7,0.86,,,,,
3F,EVﾎｰﾙ,ホテル等,ロビー（終日）,3.15,2.4,,,22.2,,,,,
3F,廊下,ホテル等,廊下（終日）,3.15,2.4,,,25.2,,,,,
3F,ｼﾝｸﾞﾙ(NE),ホテル等,客室,3.15,2.4,,,14.2,,,,,
3F,ｼﾝｸﾞﾙ(NE)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
3F,ｼﾝｸﾞﾙ(E1),ホテル等,客室,3.15,2.4,,,13,,,,,
3F,ｼﾝｸﾞﾙ(E1)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
3F,自販機,ホテル等,廊下（終日）,3.15,2.4,2.1,2.5,5.25,,,,,
3F,ﾘﾈﾝ室,ホテル等,湯沸室等,3.15,2.4,,,10.3,,,,,
3F,PS(E),ホテル等,電気・機械室（標準）,3.15,2.4,1.3,1.93,2.51,,,,,
3F,ﾂｲﾝ(E),ホテル等,客室,3.15,2.4,,,20.4,,,,,
3F,ﾂｲﾝ(E)UB,ホテル等,客室(洗面）,3.15,2.4,1.45,1.87,2.71,,,,,
3F,ｼﾝｸﾞﾙ(E2),ホテル等,客室,3.15,2.4,,,13,,,,,
3F,ｼﾝｸﾞﾙ(E2)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
3F,ｼﾝｸﾞﾙ(E3),ホテル等,客室,3.15,2.4,,,13,,,,,
3F,ｼﾝｸﾞﾙ(E3)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
3F,ｼﾝｸﾞﾙ(SE),ホテル等,客室,3.15,2.4,,,14,,,,,
3F,ｼﾝｸﾞﾙ(SE)UB,ホテル等,客室(洗面）,3.15,2.4,1.65,1.35,2.23,,,,,
3F,PS(S),ホテル等,電気・機械室（標準）,3.15,3.15,1.45,0.55,0.8,,,,,
3F,PS(中央5),ホテル等,電気・機械室（標準）,3.15,3.15,2.1,0.55,1.16,,,,,
3F,PS(中央4),ホテル等,電気・機械室（標準）,3.15,3.15,1.15,0.55,0.63,,,,,
3F,PS(中央3),ホテル等,電気・機械室（標準）,3.15,3.15,1.15,0.55,0.63,,,,,
4F,階段室,ホテル等,廊下（終日）,3.15,3.2,3.45,6.18,21.32,,,,,
4F,収納,ホテル等,湯沸室等,3.15,2.4,1.68,2.84,4.75,,,,,
4F,ﾂｲﾝ(W),ホテル等,客室,3.15,2.4,,,19.8,,,,,
