åé,ì˙,ójì˙,ïΩãœäOãCâ∑[Åé],,,ïΩãœê‚ëŒéºìx[g/kg'],,,íºíBì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÅE0.89Ç≈èúÇµÇƒäÓèÄâªçœÇ›),,,,,,,,,ìVãÛÅEîΩéÀì˙éÀó [Wh/m2](ÉKÉâÉXì¸éÀäpîΩâfÇΩÇæÇµ0.808ÇÕèÊÇ∂ÇƒÇ¢Ç»Ç¢),,ñÈä‘ï˙éÀ[Wh/m2],,
,,,ëSì˙,7Å`18éû,19Å`6éû,ëSì˙,7Å`18éû,19Å`6éû,S,SW,W,NW,N,NE,E,SE,êÖïΩ,âîíº,êÖïΩ,âîíº,êÖïΩ
3,25,4,7.7,9.7,5.7,3.9,3.8,4.0,2349.9,1868.7,1100.1,173.4,.0,688.8,2037.2,2627.2,3616.5,1101.9,1657.3,997.3,1994.5
3,26,5,7.0,8.9,5.0,3.5,3.3,3.8,2233.5,1851.4,1135.2,205.8,.0,487.7,1682.2,2311.1,3521.7,1147.5,1750.3,942.6,1885.2
3,27,6,4.7,4.7,4.7,4.4,4.6,4.1,20.0,39.6,38.7,15.4,.0,21.0,38.9,34.2,35.5,589.2,1067.6,329.1,658.3
3,28,7,8.5,10.9,6.0,5.0,5.1,4.9,1278.8,795.3,378.2,63.8,.0,169.1,847.2,1320.3,2062.0,1362.3,2283.0,621.6,1243.2
3,29,1,8.1,9.2,7.0,3.3,3.2,3.4,30.0,46.9,41.5,17.9,.0,24.3,42.7,44.4,53.6,695.1,1258.4,447.8,895.5
3,30,2,7.5,8.6,6.4,4.2,4.2,4.2,26.1,33.0,30.8,14.5,.0,24.0,48.8,50.6,49.2,650.7,1178.1,380.9,761.8
3,31,3,8.1,12.0,4.2,3.2,2.8,3.6,2251.0,2317.6,1701.6,490.6,.6,580.7,1795.6,2357.7,4052.6,1122.0,1652.6,1050.8,2101.5
4,1,4,5.3,8.7,1.9,3.0,3.0,2.9,2252.2,2235.4,1715.7,660.5,1.3,886.6,2406.0,2932.6,4217.4,1080.4,1556.1,1168.2,2336.5
4,2,5,7.7,11.1,4.4,3.4,3.2,3.7,1866.4,1450.1,845.4,135.8,.9,686.8,1896.2,2316.1,3485.6,1217.9,1882.9,1064.1,2128.3
4,3,6,12.4,14.9,9.9,5.1,4.4,5.7,1470.2,1259.0,916.0,204.5,1.0,638.1,1750.1,2045.3,2900.2,1373.0,2219.0,910.6,1821.3
