様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭,
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御,
,,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択),
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
1F,女WC2,学校等,トイレ,27,,2.4,,,1.1,LEDライン照明,RaL261,34,3,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,9,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,ダウンライト,aL141,16,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
1F,多目的WC2,学校等,トイレ,2.25,,2.4,,,0.3,ダウンライト,aL141,16,2,,,,,,,
,,,,,,,,,,LEDライン照明,RaL261,34,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL131,18,1,,,,,,,
,,,,,,,,,,LEDライン照明,RaL71,10,1,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
1F,中央管理室,学校等,事務室,28,,2.7,,,1.3,ベーシックベースライト(調光可能),Ca322C,72,6,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
1F,MDF室,学校等,電気・機械室（高発熱）,10.5,,2.7,,,0.6,反射笠付,K321,42,2,,,,,,,
1F,カフェマロニエ,学校等,食堂（大学）,48.75,,4,,,1.1,非常用照明器具,ed451d,45,2,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,1,,,,,,,
,,,,,,,,,,ブラケット,WL27w,3,2,,,,,,,
,,,,,,,,,,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
1F,カフェマロニエ　WC,学校等,トイレ,3.5,,2.4,,,0.3,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,ベーシックベースライト(調光可能),Ca322C,72,2,,,,,,,
1F,カフェマロニエ　更衣兼倉庫,学校等,食堂（大学）,2.5,,2.7,,,0.3,非常用照明器具,ed451d,45,1,,,,,,,
,,,,,,,,,,ベーシックベースライト(調光可能),Ca322C,72,2,,,,,,,
2F,教員執務室,学校等,事務室,60,,2.7,,,2,ベーシックベースライト(調光可能),Ca322C,72,12,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
2F,国際連携役職室,学校等,事務室,52.5,,2.7,,,1.8,ベーシックベースライト(調光可能),Ca322C,72,14,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
2F,国際連携部事務室,学校等,事務室,170,,2.7,,,3.3,ベーシックベースライト(調光可能),Ca322C,72,46,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,12,,,,,,,
,,,,,,,,,,避難口誘導灯(壁・天井直付型),Xb11E,2.4,2,,,,,,,
2F,会議室,学校等,事務室,20,,2.7,,,1.2,ベーシックベースライト(調光可能),Ca322C,72,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
2F,更衣室,学校等,事務室,20,,2.7,,,0.8,ベーシックベースライト(調光可能),Ca322C,72,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
2F,国際連携部倉庫,学校等,湯沸室等,15,,2.7,,,0.7,ベーシックベースライト(調光可能),Ca322C,72,4,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,1,,,,,,,
2F,留学生カウンセリング兼打合せスペース1,学校等,事務室,56,,2.7,,,2,ダウンライト,aL141,16,18,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,2,,,,,,,
2F,講義室201,学校等,教室（大学）,126.5,,2.7,,,3,ベーシックベースライト(調光可能),Ca322C,72,35,,,,,,,
,,,,,,,,,,黒板灯,H321,35,2,,,,,,,
,,,,,,,,,,非常用照明器具,ed451d,45,6,,,,,,,
