１　室リスト,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,空調計算対象室,照明計算対象室,換気計算対象室,給湯計算対象室
,,,,,,,,,,,,,,
,,,,,,照明計算用,照明計算用,,,,,,,
階,* 室名,* 建物用途,* 室用途,* 階高,* 天井高,室の間口 ※,室の奥行 ※,* 室面積,備考欄,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,[m],[m],[m],[m],[㎡],,,,,,
4F,4FEVﾎｰﾙ,事務所等,ロビー,4,2.4,11,3.4,37.4,,,●,●,,
4F,廊下,事務所等,廊下,4,2.4,,,88.6,,,,●,,
4F,階段室Ｎ,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
4F,乗降ﾛﾋﾞｰ,事務所等,ロビー,4,2.4,2.6,4.3,11.2,,,,●,,
4F,ＤＳ,事務所等,電気・機械室（標準）,4,4,1,7,7,,,,●,,
4F,機械室1,事務所等,電気・機械室（標準）,4,4,3.2,7,22.4,,,,●,,
4F,ＰＳ1,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
4F,男子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
4F,EPS,事務所等,電気・機械室（標準）,4,4,6.1,1,6.1,,,,●,,
4F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4,4,1.9,1,1.9,,,,●,,
4F,ＰＳ2,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
4F,女子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
4F,多目的便所,事務所等,トイレ,4,2.4,2,2,4,,,,●,●,
4F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,4,2.4,2.2,3.2,7,,,,●,●,
4F,倉庫2,事務所等,更衣室等,4,2.4,,,6.6,,,,●,●,
4F,機械室2,事務所等,電気・機械室（標準）,4,4,3.6,7,25.2,,,,●,,
4F,階段室S,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
5F,5F事務室,事務所等,事務室,4,2.6,37,17,623,,,●,●,●,●
5F,5FEVﾎｰﾙ,事務所等,ロビー,4,2.4,11,3.4,37.4,,,●,●,,
5F,廊下,事務所等,廊下,4,2.4,,,88.6,,,,●,,
5F,階段室Ｎ,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
5F,乗降ﾛﾋﾞｰ,事務所等,ロビー,4,2.4,2.6,4.3,11.2,,,,●,,
5F,ＤＳ,事務所等,電気・機械室（標準）,4,4,1,7,7,,,,●,,
5F,機械室1,事務所等,電気・機械室（標準）,4,4,3.2,7,22.4,,,,●,,
5F,ＰＳ1,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
5F,男子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
5F,EPS,事務所等,電気・機械室（標準）,4,4,6.1,1,6.1,,,,●,,
5F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4,4,1.9,1,1.9,,,,●,,
5F,ＰＳ2,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
5F,女子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
5F,多目的便所,事務所等,トイレ,4,2.4,2,2,4,,,,●,●,
5F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,4,2.4,2.2,3.2,7,,,,●,●,
5F,倉庫2,事務所等,更衣室等,4,2.4,,,6.6,,,,●,●,
5F,機械室2,事務所等,電気・機械室（標準）,4,4,3.6,7,25.2,,,,●,,
5F,階段室S,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
6F,6F事務室,事務所等,事務室,4,2.6,37,17,623,,,●,●,●,●
6F,6FEVﾎｰﾙ,事務所等,ロビー,4,2.4,11,3.4,37.4,,,●,●,,
6F,廊下,事務所等,廊下,4,2.4,,,88.6,,,,●,,
6F,階段室Ｎ,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
6F,乗降ﾛﾋﾞｰ,事務所等,ロビー,4,2.4,2.6,4.3,11.2,,,,●,,
6F,ＤＳ,事務所等,電気・機械室（標準）,4,4,1,7,7,,,,●,,
6F,機械室1,事務所等,電気・機械室（標準）,4,4,3.2,7,22.4,,,,●,,
6F,ＰＳ1,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
6F,男子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
6F,EPS,事務所等,電気・機械室（標準）,4,4,6.1,1,6.1,,,,●,,
6F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4,4,1.9,1,1.9,,,,●,,
6F,ＰＳ2,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
6F,女子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
6F,多目的便所,事務所等,トイレ,4,2.4,2,2,4,,,,●,●,
6F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,4,2.4,2.2,3.2,7,,,,●,●,
6F,倉庫2,事務所等,更衣室等,4,2.4,,,6.6,,,,●,●,
6F,機械室2,事務所等,電気・機械室（標準）,4,4,3.6,7,25.2,,,,●,,
6F,階段室S,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
7F,7F事務室,事務所等,事務室,4,2.6,37,17,623,,,●,●,●,●
7F,7FEVﾎｰﾙ,事務所等,ロビー,4,2.4,11,3.4,37.4,,,●,●,,
7F,廊下,事務所等,廊下,4,2.4,,,88.6,,,,●,,
7F,階段室Ｎ,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
7F,乗降ﾛﾋﾞｰ,事務所等,ロビー,4,2.4,2.6,4.3,11.2,,,,●,,
7F,ＤＳ,事務所等,電気・機械室（標準）,4,4,1,7,7,,,,●,,
7F,機械室1,事務所等,電気・機械室（標準）,4,3.8,3.2,7,22.4,,,,●,,
7F,ＰＳ1,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
7F,男子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
7F,EPS,事務所等,電気・機械室（標準）,4,4,6.1,1,6.1,,,,●,,
7F,ｱﾗｰﾑ弁室,事務所等,電気・機械室（標準）,4,4,1.9,1,1.9,,,,●,,
7F,ＰＳ2,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
7F,女子便所,事務所等,トイレ,4,2.4,2.8,5.8,16.2,,,,●,●,
7F,多目的便所,事務所等,トイレ,4,2.4,2,2,4,,,,●,●,
7F,湯沸ｺｰﾅｰ,事務所等,湯沸室等,4,2.4,2.2,3.2,7,,,,●,●,
7F,倉庫2,事務所等,更衣室等,4,2.4,,,6.6,,,,●,●,
7F,機械室2,事務所等,電気・機械室（標準）,4,4,3.6,7,25.2,,,,●,,
7F,階段室S,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
8F,8F事務室,事務所等,事務室,4,2.6,29.3,17,495.1,,,●,●,●,●
8F,セミナールーム,事務所等,事務室,4,2.6,7.7,17,127.9,,,●,●,●,●
8F,8FEVﾎｰﾙ,事務所等,ロビー,4,2.4,11,3.4,37.4,,,●,●,,
8F,廊下,事務所等,廊下,4,2.4,,,88.6,,,,●,,
8F,階段室Ｎ,事務所等,廊下,4,4,3.2,7,22.4,,,,●,,
8F,乗降ﾛﾋﾞｰ,事務所等,ロビー,4,2.4,2.6,4.3,11.2,,,,●,,
8F,ＤＳ,事務所等,電気・機械室（標準）,4,4,1,7,7,,,,●,,
8F,機械室1,事務所等,電気・機械室（標準）,4,4,3.2,7,22.4,,,,●,,
8F,ＰＳ1,事務所等,電気・機械室（標準）,4,4,1.2,2.8,3.4,,,,●,,
