7F,女子便所,Office,便所,16.2,送風機,FE-WC2-1･･8F,Exist,680,0.125,,,,,7.716,13.5, , , ,1,3133,637.0433,6687.4261,0.09526
7F,多目的便所,Office,便所,4,送風機,dumy4,Exist,0,0,,,,,0,13.5, , , ,1,3133,0,1651.2163,0
7F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-1･･8F,Exist,60,0.025,,,,,3.5714,4.5, , , ,1,2000,81.3333,614.88,0.13228
7F,倉庫2,Office,更衣室,6.6,送風機,FE-ST-1･･8F,Exist,60,0.025,,,,,3.7879,4.5, , , ,1,3133,127.4087,908.169,0.14029
8F,男子便所,Office,便所,16.2,送風機,FE-WC1-1･･8F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,509.6347,6687.4261,0.076208
8F,女子便所,Office,便所,16.2,送風機,FE-WC2-1･･8F,Exist,680,0.125,,,,,7.716,13.5, , , ,1,3133,637.0433,6687.4261,0.09526
8F,多目的便所,Office,便所,4,送風機,dumy4,Exist,0,0,,,,,0,13.5, , , ,1,3133,0,1651.2163,0
8F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-1･･8F,Exist,60,0.025,,,,,3.5714,4.5, , , ,1,2000,81.3333,614.88,0.13228
8F,倉庫2,Office,更衣室,6.6,送風機,FE-ST-1･･8F,Exist,60,0.025,,,,,3.7879,4.5, , , ,1,3133,127.4087,908.169,0.14029
9F,厨房,Office,厨房,102.6,送風機,OAC-KT-9F,Supply,11400,3.7,,,,,36.0624,180,有,有, ,0.9025,2000,86909.5467,360495.36,0.38443
,,,,,送風機,FE-KT-9F,Exist,11400,2.2,,,,,21.4425,,有,有, ,0.9025,,51675.9467,,
9F,男子便所,Office,便所,16.2,送風機,FE-WC1-9F,Exist,580,0.1,,,,,6.1728,13.5, , , ,1,3133,4077.0773,6687.4261,0.60966
9F,女子便所,Office,便所,16.2,送風機,FE-WC2-9F,Exist,680,0.125,,,,,7.716,13.5, , , ,1,3133,5096.3467,6687.4261,0.76208
9F,多目的便所,Office,便所,4,送風機,dumy4,Exist,0,0,,,,,0,13.5, , , ,1,3133,0,1651.2163,0
9F,湯沸コーナー,Office,湯沸室等,7,送風機,FE-HW-9F,Exist,60,0.025,,,,,3.5714,4.5, , , ,1,2000,650.6667,614.88,1.0582
9F,倉庫2,Office,更衣室,6.6,送風機,FE-ST-9F,Exist,60,0.025,,,,,3.7879,4.5, , , ,1,3133,1019.2693,908.169,1.1223
PHF,EV機械室,Office,電気室,48,送風機,FS-EV1-RF,Supply,6200,1.5,,,,,31.25,18,有, ,温度制御,0.665,8760,113711.808,73869.9264,1.5394
PHF,非常用EV機械室,Office,電気室,28.8,送風機,FS-EV2-RF,Supply,2100,0.75,,,,,26.0417,18,有, ,温度制御,0.665,8760,56855.904,44321.9558,1.2828
