様式 2-1. (空調) 空調ゾーン入力シート,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
室の仕様,,,,,,,空調ゾーン,,空調機群名称,
①,①,①,①,①,①,①,②,②,③,④
階,室名,建物用途,室用途,室面積,階高,天井高,階,空調ゾーン名,室負荷処理,外気負荷処理
,,,,,,,,,,
,,,,[㎡],[m],[m],,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,(転記),(転記)
,,,,,,,,,,
3F,客室S23,ホテル等,客室,12.6,3.8,2.6,3F,客室S23,FCU3-323,OHU-3
3F,客室S24,ホテル等,客室,12.6,3.8,2.6,3F,客室S24,FCU3-324,OHU-3
3F,客室W01,ホテル等,客室,23.4,3.8,2.6,3F,客室W01,FCU4-301,OHU-3
3F,客室W02,ホテル等,客室,23.4,3.8,2.6,3F,客室W02,FCU4-302,OHU-3
3F,客室W03,ホテル等,客室,23.4,3.8,2.6,3F,客室W03,FCU4-303,OHU-3
3F,客室W04,ホテル等,客室,23.4,3.8,2.6,3F,客室W04,FCU4-304,OHU-3
3F,客室W05,ホテル等,客室,23.4,3.8,2.6,3F,客室W05,FCU4-305,OHU-3
3F,客室W06,ホテル等,客室,23.4,3.8,2.6,3F,客室W06,FCU4-306,OHU-3
3F,客室W07,ホテル等,客室,23.4,3.8,2.6,3F,客室W07,FCU4-307,OHU-3
3F,客室W08,ホテル等,客室,23.4,3.8,2.6,3F,客室W08,FCU4-308,OHU-3
3F,客室W09,ホテル等,客室,23.4,3.8,2.6,3F,客室W09,FCU4-309,OHU-3
3F,客室W10,ホテル等,客室,23.4,3.8,2.6,3F,客室W10,FCU4-310,OHU-3
3F,客室W11,ホテル等,客室,23.4,3.8,2.6,3F,客室W11,FCU4-311,OHU-3
3F,客室W12,ホテル等,客室,23.4,3.8,2.6,3F,客室W12,FCU4-312,OHU-3
3F,客室W13,ホテル等,客室,23.4,3.8,2.6,3F,客室W13,FCU4-313,OHU-3
3F,客室W14,ホテル等,客室,23.4,3.8,2.6,3F,客室W14,FCU4-314,OHU-3
3F,客室W15,ホテル等,客室,23.4,3.8,2.6,3F,客室W15,FCU4-315,OHU-3
3F,客室W16,ホテル等,客室,23.4,3.8,2.6,3F,客室W16,FCU4-316,OHU-3
3F,客室W17,ホテル等,客室,23.4,3.8,2.6,3F,客室W17,FCU4-317,OHU-3
3F,客室W18,ホテル等,客室,23.4,3.8,2.6,3F,客室W18,FCU4-318,OHU-3
3F,客室W19,ホテル等,客室,23.4,3.8,2.6,3F,客室W19,FCU4-319,OHU-3
3F,客室W20,ホテル等,客室,23.4,3.8,2.6,3F,客室W20,FCU4-320,OHU-3
4F,EVホール,ホテル等,終日利用される廊下,24,3.8,2.6,4F,EVホール,FCU2-4,OHU-4
4F,リネン室,ホテル等,更衣室又は倉庫,21,3.8,2.4,4F,リネン室,FCU1-4,OHU-4
4F,客室S01,ホテル等,客室,12.6,3.8,2.6,4F,客室S01,FCU3-401,OHU-4
4F,客室S02,ホテル等,客室,12.6,3.8,2.6,4F,客室S02,FCU3-402,OHU-4
4F,客室S03,ホテル等,客室,12.6,3.8,2.6,4F,客室S03,FCU3-403,OHU-4
4F,客室S04,ホテル等,客室,12.6,3.8,2.6,4F,客室S04,FCU3-404,OHU-4
4F,客室S05,ホテル等,客室,12.6,3.8,2.6,4F,客室S05,FCU3-405,OHU-4
4F,客室S06,ホテル等,客室,12.6,3.8,2.6,4F,客室S06,FCU3-406,OHU-4
4F,客室S07,ホテル等,客室,12.6,3.8,2.6,4F,客室S07,FCU3-407,OHU-4
4F,客室S08,ホテル等,客室,12.6,3.8,2.6,4F,客室S08,FCU3-408,OHU-4
4F,客室S09,ホテル等,客室,12.6,3.8,2.6,4F,客室S09,FCU3-409,OHU-4
4F,客室S10,ホテル等,客室,12.6,3.8,2.6,4F,客室S10,FCU3-410,OHU-4
