様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
3F,客室W1UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W2UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W3UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W4UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W5UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W6UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W7UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W8UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W9UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W10UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W11UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W12UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W13UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W14UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W15UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W16UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W17UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
3F,客室W18UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
