様式 2-7. (空調)空調機入力シート,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,④,⑤,⑥,送風機定格消費電力,,,,⑪,⑫,⑬,⑭,全熱交換器,,,,,二次ポンプ群名称,,熱源群名称,,[24]
,,,,,,⑦,⑧,⑨,⑩,,,,,⑮,⑯,⑰,⑱,⑲,⑳,[21],[22],[23],
,,,,,,,,,,,,,,,,,,,,,,,
空調機群名称,台数,空調機タイプ,定格冷却(冷房)能力,定格加熱(暖房)能力,給気送風機　定格風量,給気,還気,外気,排気,風量制御方式,変風量時　最小風量比,外気カット制御の有無,外気冷房制御の有無,全熱交換器の有無,全熱交換器定格風量,定格全熱交換効率,バイパス制御の有無,ロータ消費電力,冷熱,温熱,冷熱,温熱,備考
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号
,[台],,[kW/台],[kW/台],[m3/h台],[kW/台],[kW/台],[kW/台],[kW/台],,［％］,,,,[m3/h台],［％］,,[kW/台],,,,,系統名等）
,,(選択),,,,,,,,(選択),,(選択),(選択),(選択),,,(選択),,(転記),(転記),(転記),(転記),
,,,,,,,,,,,,,,,,,,,,,,,
FCU4-211,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-212,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-213,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-214,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-215,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-216,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-217,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-218,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-219,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
FCU4-220,1,FCU,2.7,2.62,360,0.036,,,,定風量制御,,無,無,,,,,,CHP2,CHP2,AR1,AR1,
