様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
2F,トイレ,ホテル等,トイレ（終日）,5.7343,4.2,2.7,2.5555,2.45328,,FL,Q22,40,2,,,,,,
2F,倉庫,ホテル等,更衣室,9.612772,4.2,2.7,5.00878,4.80434,,FL,,32,2,,,,,,
3F,ロビー・ホワイエ,ホテル等,ロビー（終日）,67.581332,4.15,2.65,10.52866,5.82654,,DL,A18,18,16,,,,,,
,,,,,,,,,,DL,H60,60,5,,,,,,
3F,クローク,ホテル等,ロビー（終日）,6.954142,4.15,2.65,2.35106,2.96438,,DL,A18,18,2,,,,,,
3F,ミーティングルームA,事務所等,会議室,124.0694,4.15,2.65,14.3108,8.6887,,シーリング,G,1250,8,,,,,,
,,,,,,,,,,DL,ハロゲン,85,32,,,,,,
,,,,,,,,,,DL,クリプトン,100,28,,,,,,
,,,,,,,,,,S,ハロゲン,80,8,,,,,,
3F,ミーティングルームB,事務所等,会議室,38.127882,4.15,2.65,7.05318,5.41766,,シーリング,,180,2,,,,,,
,,,,,,,,,,DL,,100,16,,,,,,
,,,,,,,,,,DL,,60,2,,,,,,
,,,,,,,,,,DL,,50,4,,,,,,
,,,,,,,,,,B,,40,3,,,,,,
3F,廊下A,ホテル等,廊下（昼）,29.7141,4.15,2.65,,,1,DL,A18,18,8,,,,,,
3F,A避難階段,ホテル等,廊下（終日）,41.96465,4.15,2.65,,,1,FL,6722,20,1,,,,,,
3F,廊下B,ホテル等,廊下（終日）,23.635742,4.15,2.65,,,1,DL,A18,18,6,,,,,,
3F,事務室A,ホテル等,事務室（昼）,15.22196,4.15,2.65,3.16882,4.80434,,FL,W42,80,2,,,,,,
3F,事務室B,ホテル等,事務室（終日）,24.490674,4.15,2.65,8.27982,2.96438,,FL,W42,80,4,,,,,,
3F,倉庫,ホテル等,更衣室,14.70066,4.15,2.65,3.0666,4.80434,,FL,,64,2,,,,,,
3F,従業員休憩室,ホテル等,事務室（終日）,22.895496,4.15,2.65,3.98658,4.90656,,FL,Q22,40,2,,,,,,
3F,男性用トイレ,ホテル等,トイレ（終日）,17.296734,4.15,2.65,3.37326,6.03098,,DL,A13,13,6,,,,,,
3F,女性用トイレ,ホテル等,トイレ（終日）,9.862996,4.15,2.65,3.37326,3.37326,,DL,A13,13,4,,,,,,
,,,,,,,,,,P,P61,60,2,,,,,,
3F,仮眠室,ホテル等,事務室（終日）,7.50672,4.15,2.65,1.5333,4.90656,,FL,,32,2,,,,,,
3F,シャワー室,ホテル等,客室（洗面）,2.001792,4.15,2.65,1.63552,1.22664,,P,,60,1,,,,,,
3F,非常用EV乗降ロビー,ホテル等,ロビー（終日）,12.750998,4.15,2.65,3.5777,4.90656,,FL,,64,1,,,,,,
3F,廊下C,ホテル等,廊下（終日）,9.404252,4.15,2.65,,,1,FL,Q22,40,3,,,,,,
3F,パントリー,ホテル等,湯沸室等,24.219598,4.15,2.65,3.37326,5.6221,,FL,,64,2,,,,,,
3F,廊下D,ホテル等,廊下（終日）,6.651788,4.15,2.65,,,1,FL,Q22,40,3,,,,,,
3F,男子ロッカー室,ホテル等,更衣室,21.018816,4.15,2.65,4.49768,5.72432,,FL,,32,3,,,,,,
3F,女子ロッカー室,ホテル等,更衣室,11.093264,4.15,2.65,1.94218,5.72432,,FL,,32,2,,,,,,
3F,メイド員・控室・休憩室,ホテル等,事務室（終日）,29.1928,4.15,2.65,5.111,5.72432,,FL,,64,4,,,,,,
3F,トイレ,ホテル等,トイレ（終日）,8.75784,4.15,2.65,2.14662,4.90656,,DL,A13,13,3,,,,,,
3F,廊下E,ホテル等,廊下（終日）,7.736092,4.15,2.65,,,1,FL,Q22,40,2,,,,,,
4F,客室1S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
4F,客室1S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
4F,客室2S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
4F,客室2S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
4F,客室3S,ホテル等,客室,16.6690888,2.95,2.4,3.863916,3.5777,,DL,,60,3,,,,,,
4F,客室3S_UB,ホテル等,客室（洗面）,3.95291364,2.95,2.4,,,1,壁付,,60,1,,,,,,
